City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
atuona,7,PF,1567728909.0,68.0,-9.8,-139.03,79.33,6.49
kapaa,40,US,1567729001.0,59.0,22.08,-159.32,89.6,16.11
vaini,100,IN,1567729001.0,93.0,15.34,74.49,76.63,8.08
teahupoo,75,PF,1567729002.0,54.0,-17.83,-149.27,82.4,9.17
solnechnyy,100,RU,1567729002.0,89.0,50.72,136.64,61.87,1.99
bluff,0,AU,1567729002.0,15.0,-23.58,149.07,78.61,6.29
punta arenas,0,CL,1567729003.0,86.0,-53.16,-70.91,37.4,5.82
butaritari,60,KI,1567728909.0,72.0,3.07,172.79,84.73,12.5
meulaboh,43,ID,1567729003.0,82.0,4.14,96.13,81.85,8.57
kasane,0,BW,1567729004.0,33.0,-17.8,25.16,63.67,5.64
san patricio,100,PY,1567729004.0,90.0,-26.98,-56.83,56.65,5.57
pisco,0,PE,1567729004.0,30.0,-13.71,-76.2,71.6,18.34
mataura,88,NZ,1567729004.0,72.0,-46.19,168.86,48.0,13.0
mehamn,100,NO,1567729005.0,87.0,71.03,27.85,47.47,14.36
ambilobe,60,MG,1567729005.0,86.0,-13.19,49.05,67.27,3.69
hobart,75,AU,1567728764.0,81.0,-42.88,147.33,51.01,1.12
airai,93,TL,1567729005.0,48.0,-8.93,125.41,79.15,2.55
sao joao da barra,100,BR,1567729005.0,81.0,-21.64,-41.05,65.83,12.66
ponta do sol,73,BR,1567729006.0,77.0,-20.63,-46.0,68.17,11.95
faanui,45,PF,1567729006.0,80.0,-16.48,-151.75,75.73,23.22
merauke,100,ID,1567729006.0,80.0,-8.49,140.4,73.75,16.22
jizan,0,SA,1567729006.0,75.0,16.89,42.56,89.6,5.28
geraldton,90,CA,1567729007.0,100.0,49.72,-86.95,50.0,4.7
lohardaga,75,IN,1567729007.0,94.0,23.43,84.68,77.0,1.88
busselton,12,AU,1567729007.0,66.0,-33.64,115.35,44.01,12.24
rikitea,100,PF,1567729007.0,77.0,-23.12,-134.97,68.53,18.95
south lake tahoe,40,US,1567729008.0,31.0,38.93,-119.98,84.2,13.87
limerick,75,IE,1567729008.0,76.0,52.66,-8.63,57.2,23.04
nome,1,US,1567729008.0,44.0,30.04,-94.42,93.2,5.06
